Unnamed: 0,ticker,date,article_count,close,n,p,sentiment,conv_filter
1342,AMZN,2020-05-04,16.0,2315.989990234375,13.0,3.0,-1.25276296849537,1.3590596307730185
1343,AMZN,2020-05-05,4.0,2317.800048828125,1.0,3.0,0.693147180559945,1.3713603002815509
1344,AMZN,2020-05-06,16.0,2351.260009765625,1.0,15.0,2.07944154167984,1.349467616323426
1345,AMZN,2020-05-07,12.0,2367.610107421875,1.0,11.0,1.79175946922805,1.3457668003451126
1346,AMZN,2020-05-08,5.0,2379.610107421875,4.0,1.0,-0.916290731874155,1.3386963940993968
1347,AMZN,2020-05-11,11.0,2409.0,2.0,9.0,1.20397280432594,1.3399101789799264
1348,AMZN,2020-05-12,25.0,2356.949951171875,5.0,20.0,1.25276296849537,1.34498385627434
1349,AMZN,2020-05-13,19.0,2367.919921875,7.0,12.0,0.485507815781701,1.357843340046398
1350,AMZN,2020-05-14,24.0,2388.85009765625,3.0,21.0,1.70474809223843,1.3556681166083815
1351,AMZN,2020-05-15,8.0,2409.780029296875,1.0,7.0,1.38629436111989,1.3579333297772926
1352,AMZN,2020-05-18,22.0,2426.260009765625,11.0,11.0,0.0,1.3604408394711398
1353,AMZN,2020-05-19,25.0,2449.330078125,8.0,17.0,0.693147180559945,1.3730476872094357
1354,AMZN,2020-05-20,30.0,2497.93994140625,10.0,20.0,0.646627164925052,1.3683951806626682
1355,AMZN,2020-05-21,31.0,2446.739990234375,7.0,24.0,1.13943428318836,1.364091686911738
1356,AMZN,2020-05-22,17.0,2436.8798828125,7.0,10.0,0.318453731118535,1.341046494769478
1357,AMZN,2020-05-26,19.0,2421.860107421875,0.0,19.0,2.99573227355399,1.3386189250084184
1358,AMZN,2020-05-27,24.0,2410.389892578125,5.0,19.0,1.20397280432594,1.3176798695994991
1359,AMZN,2020-05-28,23.0,2401.10009765625,10.0,13.0,0.241162056816888,1.3124213706028405
1360,AMZN,2020-05-29,105.0,2442.3701171875,46.0,59.0,0.244196960512042,1.3284598109749746
1361,AMZN,2020-06-01,7.0,2471.0400390625,0.0,7.0,2.07944154167984,1.33816172972531
1362,AMZN,2020-06-02,10.0,2472.409912109375,0.0,10.0,2.39789527279837,1.354027107839816
1363,AMZN,2020-06-03,28.0,2478.39990234375,2.0,26.0,2.19722457733622,1.345532543577045
1364,AMZN,2020-06-04,15.0,2460.60009765625,2.0,13.0,1.54044504094715,1.345532543577045
1365,AMZN,2020-06-05,16.0,2483.0,6.0,10.0,0.451985123743057,1.348898244481194
1366,AMZN,2020-06-08,22.0,2524.06005859375,5.0,17.0,1.09861228866811,1.3402477540192406
1367,AMZN,2020-06-09,22.0,2600.860107421875,3.0,19.0,1.6094379124341,1.3332098179875709
1368,AMZN,2020-06-10,36.0,2647.449951171875,3.0,33.0,2.14006616349627,1.3389316280080317
1369,AMZN,2020-06-11,38.0,2557.9599609375,24.0,14.0,-0.510825623765991,1.341373792797826
1370,AMZN,2020-06-12,12.0,2545.02001953125,5.0,7.0,0.287682072451781,1.340247014501443
1371,AMZN,2020-06-15,16.0,2572.679931640625,2.0,14.0,1.6094379124341,1.3647628830779024
1372,AMZN,2020-06-16,29.0,2615.27001953125,7.0,22.0,1.05605267424931,1.3687059955811502
1373,AMZN,2020-06-17,34.0,2640.97998046875,4.0,30.0,1.82454929205105,1.3923301485631927
1374,AMZN,2020-06-18,36.0,2653.97998046875,4.0,32.0,1.88706964903238,1.385745518451377
1375,AMZN,2020-06-19,5.0,2675.010009765625,0.0,5.0,1.79175946922805,1.4055980719471162
1376,AMZN,2020-06-22,23.0,2713.820068359375,10.0,13.0,0.241162056816888,1.404162469137715
1377,AMZN,2020-06-23,40.0,2764.409912109375,0.0,40.0,3.71357206670431,1.405089894615324
1378,AMZN,2020-06-24,37.0,2734.39990234375,3.0,34.0,2.16905370036952,1.4061413229037063
1379,AMZN,2020-06-25,24.0,2754.580078125,2.0,22.0,2.03688192726104,1.4086488325975528
1380,AMZN,2020-06-26,10.0,2692.8701171875,0.0,10.0,2.39789527279837,1.418734925868908
1381,AMZN,2020-06-29,15.0,2680.3798828125,9.0,6.0,-0.356674943938732,1.43391517503074
1382,AMZN,2020-06-30,24.0,2758.820068359375,1.0,23.0,2.484906649788,1.4248608003610097
1383,AMZN,2020-07-01,13.0,2878.699951171875,2.0,11.0,1.38629436111989,1.436990288872405
1384,AMZN,2020-07-02,7.0,2890.300048828125,2.0,5.0,0.693147180559945,1.4366814643593868
1385,AMZN,2020-07-06,11.0,3057.0400390625,2.0,9.0,1.20397280432594,1.446017083774015
1386,AMZN,2020-07-07,21.0,3000.1201171875,3.0,18.0,1.55814461804655,1.4319087414966287
1387,AMZN,2020-07-08,22.0,3081.110107421875,6.0,16.0,0.887303195000903,1.4222727144759817
1388,AMZN,2020-07-09,30.0,3182.6298828125,0.0,30.0,3.43398720448515,1.4279588146132511
1389,AMZN,2020-07-10,20.0,3200.0,0.0,20.0,3.04452243772342,1.4374389154347156
1390,AMZN,2020-07-13,19.0,3104.0,3.0,16.0,1.44691898293633,1.4318251374201003
1391,AMZN,2020-07-14,30.0,3084.0,6.0,24.0,1.27296567581289,1.4568217954198766
1392,AMZN,2020-07-15,23.0,3008.8701171875,6.0,17.0,0.944461608840852,1.4712273056341358
1393,AMZN,2020-07-16,29.0,2999.89990234375,14.0,15.0,0.0645385211375712,1.4752495546401674
1394,AMZN,2020-07-17,26.0,2961.969970703125,10.0,16.0,0.435318071257845,1.490571681798083
1395,AMZN,2020-07-20,9.0,3196.840087890625,1.0,8.0,1.50407739677627,1.478043423736934
1396,AMZN,2020-07-21,16.0,3138.2900390625,2.0,14.0,1.6094379124341,1.4884509500360077
1397,AMZN,2020-07-22,21.0,3099.909912109375,1.0,20.0,2.35137525716348,1.4836496463224569
1398,AMZN,2020-07-23,14.0,2986.550048828125,3.0,11.0,1.09861228866811,1.48910749813789
1399,AMZN,2020-07-24,16.0,3008.909912109375,8.0,8.0,0.0,1.4923001367844106
1400,AMZN,2020-07-27,16.0,3055.2099609375,2.0,14.0,1.6094379124341,1.4727339426915915
1401,AMZN,2020-07-28,36.0,3000.330078125,5.0,31.0,1.67397643357167,1.483496748008622
1402,AMZN,2020-07-29,20.0,3033.530029296875,7.0,13.0,0.559615787935423,1.4827462741518949
1403,AMZN,2020-07-30,25.0,3051.8798828125,8.0,17.0,0.693147180559945,1.4827462741518946
1404,AMZN,2020-07-31,45.0,3164.679931640625,5.0,40.0,1.92181259747625,1.4727229223738405
1405,AMZN,2020-08-03,19.0,3111.889892578125,1.0,18.0,2.2512917986065,1.489662977799988
1406,AMZN,2020-08-04,31.0,3138.830078125,1.0,30.0,2.7408400239252,1.5042346311011772
1407,AMZN,2020-08-05,20.0,3205.030029296875,5.0,15.0,0.980829253011726,1.4998282075741265
1408,AMZN,2020-08-06,22.0,3225.0,3.0,19.0,1.6094379124341,1.4906695397803809
1409,AMZN,2020-08-07,10.0,3167.4599609375,0.0,10.0,2.39789527279837,1.4897421143027716
1410,AMZN,2020-08-10,6.0,3148.159912109375,0.0,6.0,1.94591014905531,1.522611305404312
1411,AMZN,2020-08-11,32.0,3080.669921875,13.0,19.0,0.356674943938732,1.5352049083695134
1412,AMZN,2020-08-12,15.0,3162.239990234375,0.0,15.0,2.77258872223978,1.5231994226688916
1413,AMZN,2020-08-13,16.0,3161.02001953125,5.0,11.0,0.693147180559945,1.5277298490067148
1414,AMZN,2020-08-14,10.0,3148.02001953125,3.0,7.0,0.693147180559945,1.5330066809936065
1415,AMZN,2020-08-17,12.0,3182.409912109375,2.0,10.0,1.29928298413026,1.5503076619175136
1416,AMZN,2020-08-18,34.0,3312.489990234375,1.0,33.0,2.83321334405622,1.5805757723257177
1417,AMZN,2020-08-19,26.0,3260.47998046875,9.0,17.0,0.587786664902119,1.5891486856503252
1418,AMZN,2020-08-20,16.0,3297.3701171875,6.0,10.0,0.451985123743057,1.6067532244166396
1419,AMZN,2020-08-21,8.0,3284.719970703125,6.0,2.0,-0.847297860387204,1.6159118922103848
1420,AMZN,2020-08-24,17.0,3307.4599609375,6.0,11.0,0.538996500732687,1.645964749105061
1421,AMZN,2020-08-25,29.0,3346.489990234375,9.0,20.0,0.741937344729377,1.6505381191490451
