,rnn,lstm,alpha_t_RIM
dropout_rate,0.6,0.4,-
l1_reg,0.0,0.0,-
n_units,170,140,14
comm_keep_prob,-,-,0.8
comm_key_size,-,-,12
comm_query_size,-,-,12
comm_value_size,-,-,6
input_keep_prob,-,-,0.8
input_key_size,-,-,4
input_query_size,-,-,4
input_value_size,-,-,6
k,-,-,12
nRIM,-,-,14
num_comm_heads,-,-,6
