,MSE,MAE
rnn_AMZN_5_train_conv_price,0.006341033615171909,0.06025157496333122
rnn_AMZN_5_val_conv_price,0.019619619473814964,0.1256711632013321
rnn_AMZN_5_test_conv_price,0.01832026243209839,0.12667012214660645
