,MSE,MAE
lstm_AMZN_5_train_conv_price,0.004891181830316782,0.05124284327030182
lstm_AMZN_5_val_conv_price,0.1078970730304718,0.3181600570678711
lstm_AMZN_5_test_conv_price,0.13092707097530365,0.35702455043792725
